"Name","VIP_scores"
"1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine",3.67464398958985
"N-Butylacetamide",3.52222881214802
"Guanosine",3.27555239400579
"12-Hydroxyjasmonate sulfate",3.15711901730698
"2-Hydroxy-1-(2,4,6-trihydroxyphenyl)-3-(3,4-dihydroxyphenyl)propan-1-one",3.15711901730698
"Avenestergenin A1",3.13720843453727
"N-Acetyl-L-arginine",3.0804987211538
"3-Methylhistamine",3.08039684560979
"Lactose",3.01700439706611
"Arctinone A acetate",3.01014509530886
"PC(18:0/22:5(7Z,10Z,13Z,16Z,19Z))",3.00192547066908
"Guanine",2.98839922596797
"Cheritamine",2.9547683794819
"1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine",2.92483043193428
"5-L-Glutamylglycine",2.8919944085152
"PE-NMe(16:1(9Z)/24:1(15Z))",2.88719627649702
"Beta-hydroxyfentanyl",2.85940636585028
"Valine",2.83881491643986
"1-Hexanethiol",2.82062059699073
"2-Pyridinemethanamine",2.77627383604423
"Bisorcic",2.76678563615906
"Stearic acid amide",2.69725698536921
"N-Acetyl-1-methyl-L-histidine",2.68486741937242
"LysoPC(18:1/0:0)",2.66426244451516
"Nonadecanoylcarnitine",2.65474772379852
"N-icosanoylsphingosine",2.62455207243335
"1-Stearoyl-sn-glycero-3-phosphocholine",2.61810585900787
"Valylhistidine",2.58751127226748
"PC(18:0/22:4(7Z,10Z,13Z,16Z))",2.58662520886574
"Thr-Ile",2.57881640521746
"PA(a-13:0/PGF2alpha)",2.5638968918613
"Choline",2.56327726033743
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z))",2.54618221125835
"2-Amino-7-methoxy-3h-phenoxazin-3-one",2.546015827678
"2-Deoxystreptamine phospahte",2.546015827678
"N-[(13Z)-docosenoyl]sphingosine",2.52261116638541
"24-Methylenecycloartane-3,28-diol",2.50626083631045
"Depropyl Rotigotine",2.49544795147255
"LysW-L-glutamate 5-semialdehyde",2.49466211852324
"Jasplakinolide",2.49082036827207
"(S)-3-Methylthiohexyl hexanoate",2.48869661653432
"CE(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R))",2.47605975059085
"Ellagic acid glucoside",2.46925461271439
"[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1Z)-2-(4-hydroxy-1H-indol-3-yl)-N-sulfooxyethanimidothioate",2.46925461271439
"trans-Epoxysuccinyl-L-leucylamido-(4-guanidino)butane",2.46281217030625
"Physoperuvine",2.46214713290154
"Phophatidylethanolamine(14:0/22:1)",2.45507780451345
"2,3-dehydro-UWM6",2.45267889074127
"Portulacaxanthin I",2.45267889074127
"Diazodiphenoquinone",2.44766706492818
"Cysteine",2.4274904926234
"Kynurenic Acid",2.4184250073636
"1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine",2.41012033964978
"D-Galactose 6-sulfate",2.40692154280465
"4-(Methylamino)butanal",2.40533039851319
"2,6-Dihydroxynicotinic acid",2.3681050793044
"sn-Glycerol 3-phosphate",2.36366178405959
"Anthanthrene",2.36226405911257
"Tabtoxin biosynthesis intermediate 2",2.36226405911257
"Triphenylsilanol",2.36226405911257
"Acetylsulfapyridine",2.35847819948429
"5-Ureidoimidazole-4-carboxylic acid",2.35560475640955
"Valerylcarnitine (C5)",2.35314932292358
"O-behenoylcarnitine",2.35281898512163
"Podorhizol beta-D-glucoside",2.33717409643211
"2-Hydroxy-5-[(5-oxooxolan-2-yl)methyl]phenyl hydrogen sulfate",2.33562925706229
"N-(9Z-hexadecenoyl)-sphing-4-enine-1-phosphocholine",2.33336571721384
"(R)-1-aminopropan-2-yl phosphate",2.33218453762179
"15beta-Hydroxy-7alpha-mercapto-pregn-4-ene-3,20-dione 7-acetate",2.31818471820612
"Urolithin a 3-sulfate",2.31764841996703
"Cysteine-glutathione disulfide",2.29614151831883
"PC(18:1(9Z)/20:2(11Z,14Z))",2.2894942401562
"L-Argininosuccinic acid",2.28281153274842
"Adenosine",2.27446896396245
"Biopterin",2.27249173052199
"Arginylproline",2.26314081727256
"1-Linoleoyl-sn-glycero-3-phosphocholine",2.26178176063812
"(1S)-1-(ethylcarbamoyl)ethyl N-phenylcarbamate",2.25454803003099
"Val-Val",2.25434113377572
"1-[(9Z)-octadecenyl]-2-hexadecanoyl-sn-glycero-3-phosphocholine",2.24288767655519
"Dimethylaminopropionylphenothiazine",2.23539937165567
"CMP",2.23215433021934
"Cyclohexylamine",2.23157961281803
"Moclobemide",2.23094031177396
"Dec-9-ynoyl-[acyl-carrier protein]",2.22364153204554
"Bethanidine",2.22325325305078
"Betaine aldehyde hydrate",2.2229256874265
"Bikojic acid",2.21754861470724
"5,10-Dihydrophenazine-1,6-dicarboxylic acid",2.21636196748202
"Yamogenin",2.20809080794035
"d-alpha-Tocopheryl acid succinate",2.20797726537672
"Norsolorinic acid",2.1989971982486
"Thalassemine",2.19604871922568
"3-Hydroxyhexanoycarnitine",2.19007385338925
"2-Hydroxyundecanoylcarnitine",2.18325777879957
"Mevinolinic Acid",2.18073126542037
"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",2.17971571950916
"Justicidin B",2.17858700938389
"Arachidyl carnitine",2.16606932423736
"Ketoleucine",2.16477167731387
"Hydroxyacetone phosphate",2.14293495138543
"PA(10:0/18:1(12Z)-2OH(9,10))",2.14184272075644
"Clavam-2-carboxylate",2.14176539254673
"O-Oxalylhomoserine",2.141205332822
"Cucurbitacin P",2.13133394296394
"5-[(Z)-3-carboxy-3-oxoprop-1-enyl]-4-hydroxy-6-oxo-1H-pyridine-2-carboxylic acid",2.13102944574738
"Garciduol C",2.12799673814088
"4-Hydroxybenzo[a]pyrene",2.12330288748083
"5-(4-Hydroxyphenyl)-5-phenylimidazolidine-2,4-dione",2.12330288748083
"Iprovalicarb",2.12305529458307
"4-(9H-pyrido[3,4-b]indol-1-yl)butane-1,2,4-triol",2.12034098388455
"2-[(2-Aminoethylcarbamoyl)methyl]-2-hydroxybutanedioate",2.11886385023204
"N-propionylmethionine",2.1162392084765
"24-Methylcycloart-23-en-3beta-yl acetate",2.10446414525388
"2-Deoxyecdysone",2.10277452304424
